Spent,Payout
85,166.45
77,148.57
69,142.31
15,29.78
34,67.45
60,119.73
1,2.06
58,121.23
71,147.17
46,93.68
17,34.02
81,161.91
77,157.71
50,100.87
75,152.14
56,106.44
55,107.3
65,135.59
85,177.31
98,192.17
58,113.47
64,130.75
93,182.05
15,29.79
13,26.73
76,148.1
76,149.02
13,25.39
8,16.27
97,197.94
18,36.78
21,41.21
99,195.95
0,0.0
9,18.59
25,51.54
47,93.83
87,172.69
14,28.27
38,72.92
31,64.61
27,51.5
47,96.92
78,151.55
38,79.75
75,144.47
12,22.98
50,104.14
72,138.62
23,45.11
78,150.87
98,187.86
28,57.58
28,55.4
43,88.65
88,180.82
47,90.43
62,123.62
53,106.81
26,50.36
44,88.37
38,77.76
62,122.2
62,126.47
64,123.95
1,2.05
39,77.53
20,40.95
93,191.14
86,177.94
55,111.91
94,188.19
12,24.54
28,54.45
99,190.75
46,89.12
30,57.09
14,28.08
38,79.33
20,41.64
5,10.38
31,64.51
76,154.21
98,195.49
100,202.88
35,67.75
50,98.01
57,119.24
89,183.17
38,76.33
71,136.02
6,11.41
67,128.02
38,78.79
76,144.98
39,81.34
27,55.27
68,131.26
8,16.64
11,22.35
71,141.9
27,53.61
60,119.44
22,45.96
94,190.74
35,71.74
13,26.94
7,13.88
77,158.26
67,136.06
49,101.61
43,85.83
71,139.6
39,74.52
6,11.61
54,109.38
94,180.23
65,129.55
8,15.45
30,58.15
18,34.51
17,32.38
88,181.6
16,32.71
98,195.86
95,194.32
21,41.46
90,174.45
62,119.83
71,145.31
70,136.05
30,61.05
35,71.11
42,81.99
62,118.88
61,125.2
98,194.31
47,96.04
62,127.19
2,4.05
29,55.71
31,64.05
27,55.09
11,21.15
95,187.84
2,3.98
43,82.0
27,52.79
59,119.11
4,7.9
44,87.05
85,177.72
57,112.61
10,19.92
81,163.26
2,3.94
36,73.37
51,100.5
24,47.83
80,163.7
15,30.39
42,87.28
68,131.14
69,141.29
22,44.66
91,186.29
42,87.4
76,154.11
6,11.96
60,120.43
63,124.06
95,183.22
69,138.67
3,6.19
90,174.03
89,177.77
20,41.57
24,50.13
51,103.68
47,93.51
92,177.11
96,185.02
92,177.38
12,25.11
4,8.32
3,6.14
4,8.09
5,9.81
96,186.95
64,129.58
59,119.32
86,175.2
68,142.13
97,196.98
3,5.83
50,95.72
95,193.96
36,69.05
22,45.2
59,113.3
11,22.47
10,19.49
93,190.79
28,58.52
25,50.62
86,178.15
45,86.83
82,156.8
5,9.87
44,86.83
33,66.02
16,32.64
42,87.6
31,59.31
49,100.68
12,23.73
49,97.32
86,172.27
15,29.66
24,46.15
33,65.22
25,47.78
23,47.28
15,28.92
10,19.18
74,155.33
9,17.8
33,64.67
61,121.62
98,192.64
9,18.77
100,207.53
36,71.43
89,185.64
51,103.51
33,69.26
51,106.77
44,84.26
51,100.14
90,178.76
22,43.86
55,104.94
67,135.87
96,195.07
62,124.36
21,42.91
15,30.16
77,153.98
78,149.62
30,57.47
1,1.9
88,180.72
21,42.63
95,188.56
0,0.0
82,166.45
45,90.51
10,19.11
54,111.52
97,203.52
46,89.36
81,157.48
93,184.37
74,141.72
86,175.58
13,25.4
62,118.01
46,94.14
41,84.83
36,68.62
72,142.84
14,27.64
76,154.35
65,123.83
92,192.32
100,199.59
68,134.75
87,169.86
7,13.59
11,22.46
0,0.0
45,87.3
89,181.03
3,6.0
21,42.18
51,97.85
52,102.73
57,113.48
45,91.79
7,13.83
41,78.79
87,165.82
29,60.07
60,123.89
3,6.25
77,148.56
15,29.83
43,86.68
19,36.7
39,81.06
99,200.57
53,108.83
2,3.81
33,64.1
35,69.7
57,116.24
23,45.01
27,54.82
9,17.39
21,40.52
15,31.32
75,150.71
53,107.6
21,42.67
98,200.2
25,48.6
97,188.2
10,19.15
55,106.99
36,74.65
13,24.73
81,158.1
4,8.26
41,79.46
99,207.29
94,184.92
69,140.52
37,72.55
19,38.38
45,86.76
88,173.83
92,181.94
64,123.58
22,41.87
31,59.62
98,204.37
93,193.0
41,78.92
84,160.5
51,101.48
28,53.59
13,27.22
77,160.0
81,154.59
76,152.13
53,103.97
19,39.1
71,148.16
2,3.82
76,155.32
4,8.27
85,166.26
62,125.2
50,95.96
26,49.67
13,25.48
5,10.3
0,0.0
92,186.43
77,151.04
70,134.81
53,109.46
77,157.07
44,90.7
89,184.64
28,56.46
88,173.82
49,101.53
58,115.2
7,14.34
84,170.81
25,48.65
56,114.95
17,33.53
6,11.69
100,204.37
0,0.0
86,172.53
69,140.92
90,185.01
13,25.15
71,143.73
64,127.48
32,60.97
5,9.75
87,167.14
30,58.6
75,144.69
92,189.39
30,58.17
35,71.42
19,39.39
58,111.06
74,143.11
73,144.38
42,80.48
95,195.64
91,186.03
17,34.96
55,110.33
6,11.72
87,172.69
92,182.55
83,160.43
51,104.86
75,148.01
36,71.21
22,46.02
89,185.64
7,14.5
72,138.27
73,152.74
7,14.64
98,190.49
42,81.0
58,112.8
45,88.96
22,46.05
0,0.0
69,140.78
60,121.09
48,100.25
96,199.17
6,11.62
0,0.0
44,83.67
10,19.18
88,168.53
46,96.44
66,130.99
19,39.12
25,49.85
34,70.84
11,21.05
8,16.67
95,196.59
7,13.43
98,193.0
7,14.24
23,46.82
52,103.46
1,1.96
32,61.36
15,29.33
88,173.57
2,4.07
31,59.46
86,169.96
38,76.78
44,89.66
97,196.8
0,0.0
13,26.14
4,8.11
5,10.22
92,184.62
18,37.38
78,155.17
32,63.3
64,131.75
30,59.93
54,108.32
16,31.13
80,162.98
40,82.37
15,29.03
50,101.37
13,25.17
20,41.79
22,45.62
6,12.16
37,74.62
2,4.19
11,21.66
96,201.58
43,87.64
27,51.35
6,12.31
84,166.18
68,134.03
54,105.49
91,186.97
88,176.22
98,205.69
4,7.87
47,94.28
77,150.43
44,85.32
69,136.78
94,189.54
98,197.22
66,129.2
92,189.92
15,31.39
32,63.93
22,45.87
32,64.06
77,152.91
40,79.2
24,45.86
8,16.6
96,191.37
6,12.38
69,137.02
24,48.75
8,16.64
27,52.1
28,53.72
65,126.0
38,73.29
75,146.66
85,171.65
92,179.59
72,149.25
84,175.58
68,136.01
20,38.21
59,122.73
14,28.4
48,96.4
94,192.97
78,156.15
0,0.0
95,193.57
80,156.92
6,12.27
22,44.57
28,58.57
23,47.88
18,34.26
89,173.06
44,91.16
37,75.53
98,197.69
27,54.98
26,50.04
16,32.75
50,104.6
22,42.07
84,162.06
48,94.76
9,18.0
47,90.76
86,169.25
41,83.51
45,89.16
92,188.37
100,199.0
52,102.24
70,142.05
94,188.61
20,40.29
88,178.35
73,144.89
72,150.13
51,103.0
1,1.91
80,160.8
45,85.77
59,120.74
7,13.99
1,2.09
22,46.1
28,57.43
93,188.28
79,152.68
2,4.06
38,73.31
21,41.9
23,46.95
11,22.31
67,128.48
12,24.43
98,203.97
29,58.72
59,114.27
81,165.28
83,158.08
13,25.71
97,201.24
30,59.05
77,147.68
39,75.33
16,33.06
3,6.25
17,34.81
83,166.94
66,136.48
33,69.2
77,146.88
5,9.54
68,135.61
0,0.0
42,82.43
37,73.52
90,171.2
84,161.25
3,6.16
43,85.71
74,152.61
0,0.0
81,170.09
42,86.13
89,178.01
45,88.87
68,134.34
84,163.71
26,52.38
4,8.2
90,175.68
63,123.5
22,42.44
33,62.75
66,136.81
76,158.78
74,152.99
58,117.86
5,10.02
2,3.86
91,185.82
22,44.94
72,144.71
27,55.56
88,182.8
57,118.13
57,113.21
25,47.95
33,66.98
7,13.58
68,131.24
34,66.6
61,127.32
13,26.59
88,175.4
46,89.21
61,121.6
44,86.92
87,173.01
49,94.72
99,202.41
45,89.9
15,31.3
36,71.35
85,169.67
75,143.56
54,109.95
93,178.41
82,166.12
78,153.71
8,15.99
60,124.35
38,77.52
100,190.41
97,197.73
1,2.09
47,91.44
42,87.82
33,65.91
3,6.01
100,197.13
72,141.16
33,69.08
37,76.68
96,195.57
20,40.4
51,102.07
85,173.3
30,59.32
37,75.51
28,54.44
19,38.83
67,130.12
35,69.14
9,17.22
18,34.48
21,43.64
18,34.75
24,46.45
86,173.98
35,71.56
46,91.24
3,5.97
25,49.77
83,162.44
39,80.18
39,81.29
7,13.74
16,31.76
10,19.65
38,78.25
87,169.85
7,14.54
50,99.6
52,103.85
96,186.13
64,125.03
43,81.73
73,143.8
43,84.9
76,156.66
85,164.4
100,201.48
94,180.68
27,52.18
58,113.59
99,189.96
81,154.26
88,174.71
52,105.88
36,72.36
14,27.62
5,10.21
90,174.72
81,154.17
74,143.94
43,83.69
50,101.7
40,78.13
86,173.33
66,131.69
3,5.76
97,196.44
58,110.38
39,80.99
29,59.81
13,24.97
57,116.31
35,71.51
59,117.12
9,18.58
45,88.77
16,33.19
87,167.17
2,3.95
56,110.74
93,190.65
1,1.9
18,37.66
6,12.3
53,106.59
85,162.54
56,109.23
35,69.23
88,181.87
59,118.01
53,103.9
69,138.53
89,180.23
95,195.12
28,54.63
92,186.51
24,46.52
3,6.22
77,158.88
90,175.65
87,175.39
68,140.47
92,187.7
67,133.47
45,86.64
80,156.79
27,55.18
93,190.27
16,31.81
12,23.2
50,100.66
62,124.53
34,69.44
56,108.13
49,100.5
53,104.31
23,47.2
6,11.9
32,66.6
95,195.86
100,204.25
83,166.78
49,100.94
6,11.52
33,66.94
61,118.27
92,185.36
95,193.65
29,56.08
93,192.58
43,89.03
64,125.74
69,131.53
25,51.05
88,178.25
59,116.18
74,150.53
88,181.02
43,84.41
78,154.1
0,0.0
35,71.74
75,152.67
100,207.36
29,60.35
10,20.88
82,167.1
58,118.76
18,34.71
25,48.47
53,108.87
92,176.05
17,35.4
88,182.34
62,128.95
11,22.93
50,98.93
34,66.47
86,180.04
2,4.17
58,115.05
67,131.29
85,164.57
91,186.93
97,186.62
99,200.19
30,57.44
32,61.09
90,187.77
31,61.1
38,78.22
78,159.61
40,79.83
20,38.9
46,87.71
44,92.02
74,142.49
15,28.82
61,124.01
68,141.73
42,80.55
88,172.79
23,46.87
55,115.25
66,129.7
72,137.21
97,197.15
81,164.41
95,181.62
9,18.03
75,147.26
59,123.36
24,49.97
16,31.68
31,62.24
69,139.74
6,12.36
16,33.55
49,102.79
16,31.89
66,125.59
18,37.6
34,66.98
75,152.26
71,141.62
52,105.68
20,39.91
46,89.39
9,18.25
69,134.48
61,125.56
20,41.34
33,66.42
39,76.44
44,85.49
60,121.9
3,6.15
48,99.55
52,102.73
8,15.57
76,155.54
44,88.82
78,156.99
9,18.27
96,185.45
97,203.03
28,57.52
38,78.95
90,187.21
71,136.55
0,0.0
31,62.35
9,17.78
95,197.9
98,201.22
53,108.54
20,39.13
69,132.21
46,89.81
47,98.2
15,28.62
54,103.35
76,153.8
9,17.26
80,157.82
19,36.92
41,80.67
66,135.17
82,171.35
45,88.3
72,140.62
86,178.53
31,62.99
77,151.13
76,151.88
72,140.97
31,61.1
38,78.98
24,50.08
62,124.27
33,64.43
53,109.61
18,35.72
55,111.24
66,131.69
53,109.41
59,120.63
37,72.35
86,163.58
33,65.07
85,166.45
20,40.58
49,95.03
26,54.43
41,84.25
1,1.93
0,0.0
39,81.82
52,104.52
57,114.47
40,80.84
100,202.14
38,78.28
92,188.13
86,173.17
9,18.63
87,181.05
22,44.45
90,177.5
99,192.37
18,35.86
61,118.07
81,167.77
35,68.14
2,3.83
39,77.41
44,85.35
93,190.97
80,152.53
76,148.46
83,163.67
57,117.03
26,51.62
33,65.11
96,200.72
92,183.47
28,55.88
95,195.63
56,112.75
86,176.85
72,150.86
40,82.67
67,139.35
26,54.05
77,151.36
86,172.49
1,1.93
26,49.84
76,157.18
64,134.36
53,102.66
13,25.44
61,127.08
2,3.82
78,157.51
74,147.6
1,1.99
62,120.04
60,125.1
17,34.87
66,137.3
95,198.54
9,17.83
57,110.25
0,0.0
33,63.96
48,95.18
82,159.28
61,125.16
31,59.21
86,170.95
17,32.77
16,31.75
62,128.85
80,152.28
