Spent,Payout
50,97.33
65,126.78
36,72.66
38,75.8
86,179.78
21,41.74
62,119.82
55,113.5
25,48.45
75,147.84
45,86.34
58,120.65
46,88.49
10,19.48
5,9.95
94,184.11
50,96.37
27,51.49
91,173.61
41,84.86
38,75.91
6,12.4
90,178.67
6,12.57
43,89.19
76,150.11
40,80.4
53,109.64
61,126.09
89,184.61
94,186.77
79,152.5
1,1.96
19,38.94
22,44.02
54,112.92
35,68.34
89,169.12
27,54.16
48,95.0
99,203.0
70,139.05
4,8.05
12,23.8
79,156.65
36,74.5
89,175.31
78,149.51
60,117.97
35,66.75
23,44.74
40,78.24
12,23.52
63,120.41
31,62.82
88,172.84
24,46.57
76,149.95
78,149.5
90,177.77
67,130.46
72,138.55
71,139.41
43,88.12
70,145.57
86,178.05
35,69.75
97,191.75
71,137.11
96,190.81
6,12.03
84,168.14
79,163.04
16,31.56
73,139.34
23,47.94
43,83.39
59,114.57
59,118.36
58,114.14
48,98.98
31,59.88
95,196.76
49,98.67
66,129.79
23,44.27
95,190.21
60,124.82
75,146.56
41,83.83
78,153.39
81,158.55
31,61.73
22,45.57
5,10.11
16,32.02
45,92.14
48,91.41
4,8.18
95,183.27
26,51.23
24,47.05
32,66.66
48,96.28
100,193.54
67,139.19
16,31.64
75,147.93
81,159.0
88,180.71
25,50.52
94,193.77
11,22.66
83,165.62
98,205.61
39,81.58
95,194.66
51,103.28
58,118.47
84,172.12
17,33.56
23,46.34
33,64.05
11,20.96
57,114.75
87,175.27
13,26.8
98,192.0
11,21.7
58,113.06
60,114.72
18,36.14
37,72.11
63,126.53
15,29.52
63,127.69
38,78.62
95,183.98
13,26.01
96,198.13
100,191.13
23,45.06
36,72.73
57,109.76
75,147.41
43,87.59
100,193.55
99,199.34
98,203.71
44,88.33
4,7.65
21,40.16
97,200.42
69,140.48
89,181.83
65,124.96
54,111.48
37,75.73
51,105.77
96,192.89
31,60.34
1,1.92
9,18.01
88,184.01
97,192.71
89,176.62
28,55.09
35,69.55
19,37.22
7,14.58
80,159.54
17,32.68
3,5.89
0,0.0
27,54.32
7,14.46
43,87.84
100,198.13
78,161.39
13,25.72
20,38.35
78,157.66
13,26.91
43,83.92
11,22.62
60,117.0
77,148.62
35,68.09
44,91.52
47,95.04
96,189.55
92,180.84
77,151.15
18,35.43
16,31.98
33,67.84
86,168.84
83,162.0
85,175.98
26,50.07
18,36.25
85,168.82
20,39.01
22,43.22
72,143.45
10,19.64
99,200.38
37,75.71
15,28.73
65,130.17
35,71.9
80,164.45
51,98.54
35,68.24
59,117.82
25,47.59
46,93.38
99,191.55
51,98.23
78,154.54
52,108.55
6,11.59
53,105.42
38,72.93
94,190.52
88,170.67
64,129.07
69,139.77
35,68.59
0,0.0
27,51.54
69,144.49
15,31.46
84,160.45
60,122.7
26,54.06
96,182.69
93,187.91
77,151.19
97,191.88
34,65.54
69,137.45
16,33.24
79,155.13
21,42.45
79,165.81
49,100.88
32,63.75
10,19.52
85,167.72
85,162.17
43,88.36
14,28.24
83,162.33
48,94.25
85,174.43
94,193.54
21,41.45
72,142.94
86,165.42
20,39.4
88,174.66
62,123.68
34,71.07
16,30.74
86,174.7
55,112.66
78,150.0
60,122.26
72,141.76
60,125.5
83,168.14
77,161.52
93,185.65
64,133.51
11,22.77
47,92.16
51,102.8
50,104.18
35,70.08
82,166.15
57,117.76
64,134.31
94,190.44
40,82.94
25,48.87
3,6.21
84,163.28
19,39.42
91,179.22
64,123.7
24,46.13
53,105.05
42,80.35
65,129.23
14,28.85
35,71.4
31,61.28
98,187.77
5,10.15
76,159.17
98,197.57
57,115.99
73,144.13
73,152.24
58,110.74
66,127.85
88,184.57
16,32.12
64,129.6
83,165.17
18,34.31
32,63.98
98,189.98
45,90.95
30,60.56
21,42.16
25,50.27
79,160.46
24,45.76
82,161.17
27,55.27
11,21.01
67,129.27
6,11.71
57,116.41
19,37.89
53,101.55
65,130.5
23,44.61
22,43.85
17,34.57
18,35.56
40,82.11
14,27.62
88,183.95
61,125.25
50,98.77
26,51.34
25,47.74
0,0.0
58,112.69
12,24.83
63,123.44
82,166.14
28,57.75
48,92.81
98,188.57
26,51.84
7,14.45
86,166.59
76,147.16
80,153.62
58,120.09
86,172.12
75,146.04
7,14.29
89,186.16
25,51.85
40,83.78
98,204.56
19,38.69
12,24.04
85,169.44
55,106.4
80,166.8
49,99.11
23,47.71
13,26.01
72,137.95
36,74.76
24,49.22
34,65.8
39,79.71
18,36.75
21,43.24
47,94.93
18,35.51
78,149.04
7,14.3
7,14.05
26,53.56
37,74.43
86,172.44
63,127.93
89,169.77
78,157.35
95,191.09
1,2.1
19,38.56
5,10.42
61,126.05
9,17.12
6,12.16
60,122.83
55,108.93
15,29.19
1,2.03
0,0.0
89,173.22
48,91.54
94,181.74
9,18.42
55,107.17
93,182.53
37,76.38
57,119.63
16,31.1
32,64.57
91,186.62
66,131.78
15,30.47
100,209.35
3,6.28
10,19.81
42,85.67
19,37.49
40,77.14
51,100.89
82,167.24
76,155.82
44,87.33
17,35.39
54,110.32
4,8.3
63,120.91
18,35.5
40,82.57
64,133.53
66,127.0
33,69.05
46,90.94
8,16.27
51,100.26
77,158.74
92,186.86
17,33.66
11,21.63
6,12.06
5,10.12
46,91.68
30,60.07
68,129.37
62,119.41
55,113.15
48,100.76
8,16.17
100,191.83
4,7.73
81,159.13
60,119.89
86,177.03
21,43.72
3,5.75
13,25.58
60,118.66
73,150.94
34,70.67
89,186.23
27,53.68
53,101.29
18,34.33
26,54.58
93,185.61
6,12.08
96,183.75
8,15.82
97,202.06
5,10.12
86,179.28
80,167.12
28,54.4
100,202.04
50,98.38
17,32.54
67,131.84
98,199.51
47,95.49
68,139.53
7,14.55
57,117.76
65,131.67
75,145.91
28,57.75
64,131.65
12,24.95
27,56.66
4,8.1
16,32.22
64,127.47
61,121.76
31,62.92
31,59.59
3,6.25
44,88.71
33,69.06
63,128.08
39,78.65
14,26.9
11,21.94
7,14.47
63,128.92
91,182.54
75,149.78
79,150.92
10,19.17
64,124.27
40,78.13
90,171.91
60,125.75
92,177.05
45,90.01
34,68.85
34,68.04
22,42.12
90,172.29
76,149.36
23,46.06
78,152.56
49,102.47
37,74.62
30,61.7
10,19.84
85,175.84
62,118.38
60,123.31
17,34.83
20,41.33
53,102.87
62,121.97
31,59.9
68,132.92
30,60.07
57,115.28
12,23.6
42,84.41
20,38.04
81,158.05
44,91.85
85,166.74
26,53.42
5,9.91
88,173.42
75,153.14
25,50.27
24,49.97
89,172.9
2,4.07
50,97.36
28,53.21
92,188.54
97,200.0
100,193.45
91,179.52
12,24.79
47,89.36
40,76.28
50,104.48
31,61.9
41,84.39
5,9.97
4,8.35
77,153.4
21,43.8
16,32.8
73,151.35
56,112.3
83,167.93
27,54.88
71,139.61
8,15.94
24,48.04
54,111.78
30,57.55
89,172.85
17,33.34
49,93.59
62,125.81
37,73.9
48,100.32
33,62.73
26,52.31
64,133.91
