Spent,Payout
3,5.95
31,62.28
73,140.96
37,72.54
98,197.61
10,19.35
21,42.66
23,45.75
84,170.82
65,124.27
43,83.54
63,132.04
56,114.49
49,96.8
42,82.14
40,80.56
66,133.43
86,167.42
40,81.65
41,79.17
70,141.25
70,133.57
0,0.0
38,77.49
25,49.01
15,30.39
35,66.94
53,101.27
48,95.29
99,196.92
87,173.07
25,48.13
71,139.39
94,190.09
76,148.0
95,194.4
37,76.23
20,40.35
71,138.31
47,92.12
73,147.79
4,8.06
65,135.83
92,182.63
65,132.11
5,9.9
37,74.95
90,180.35
4,7.7
51,103.93
23,48.05
85,165.09
45,85.76
87,168.0
23,47.34
35,68.61
4,7.94
92,177.18
72,141.14
54,108.3
35,72.69
26,51.51
87,178.46
65,133.1
86,179.36
12,25.18
30,58.72
61,118.02
87,170.05
61,121.67
66,134.99
14,27.61
69,131.59
7,14.43
92,190.47
34,64.77
93,185.67
43,89.31
17,35.61
87,172.18
23,45.18
54,104.48
61,124.79
44,91.79
33,65.05
92,182.62
43,84.35
68,134.14
45,90.34
97,190.84
8,16.02
48,98.95
91,180.97
72,144.87
36,68.95
52,102.18
29,58.17
37,75.32
56,110.35
79,154.66
27,55.38
12,23.79
12,24.48
92,190.62
89,178.44
41,79.19
17,34.87
12,22.99
51,105.64
87,174.93
5,10.38
30,62.59
7,13.85
21,40.0
86,178.47
39,76.76
87,171.76
27,55.09
14,28.8
62,123.19
54,106.44
71,145.62
63,123.64
70,141.34
14,28.84
4,7.83
92,189.81
53,105.74
24,47.85
81,156.2
61,116.46
65,129.87
92,180.89
15,28.51
16,31.97
37,76.31
75,143.51
54,105.42
77,148.46
31,60.95
17,32.69
1,2.0
88,182.94
86,178.77
20,39.43
35,69.63
99,207.8
18,37.08
69,134.5
58,111.71
56,112.86
2,3.98
87,169.41
18,35.33
79,158.23
0,0.0
63,123.91
77,158.86
30,58.14
83,158.56
78,151.98
77,149.26
24,46.0
100,208.48
27,52.53
80,156.36
28,57.68
23,44.8
72,142.18
16,30.42
36,72.31
82,158.51
30,57.97
27,54.58
58,110.63
92,192.74
17,33.24
53,103.87
82,161.06
64,124.84
46,96.21
50,100.14
2,4.18
97,195.21
73,147.06
73,144.27
18,37.6
27,56.52
93,180.92
97,197.94
100,190.73
1,2.1
62,118.78
58,117.74
55,110.47
51,103.54
81,167.41
58,111.3
38,79.55
7,14.23
14,28.42
9,17.28
54,104.63
84,176.27
55,111.22
3,5.92
41,85.5
7,13.55
42,83.06
1,2.03
38,77.17
79,150.96
38,75.86
51,105.42
37,71.8
51,98.44
66,126.77
12,24.67
23,43.87
7,14.14
61,125.38
62,121.59
42,81.13
87,181.15
56,115.73
62,121.13
15,28.76
93,187.34
66,131.0
21,41.86
41,84.33
4,7.87
22,45.96
27,52.76
11,21.75
80,152.91
75,149.17
74,143.37
37,71.29
12,24.74
72,141.49
51,99.98
100,201.52
19,37.26
53,100.85
53,107.74
67,133.71
100,200.91
35,67.39
37,75.68
66,132.02
11,21.83
96,198.61
55,104.56
50,102.7
41,82.71
57,110.53
69,136.08
21,40.96
18,37.56
20,38.54
79,156.86
95,184.22
80,155.33
89,186.71
98,193.85
49,99.1
79,163.59
22,46.03
29,60.38
17,34.97
26,51.07
15,29.31
99,202.36
81,167.45
75,143.98
96,188.66
43,88.85
95,199.43
19,36.58
74,148.26
77,159.39
11,22.38
22,45.14
64,125.54
62,125.83
24,48.65
64,125.79
19,38.36
60,119.52
74,145.29
8,16.69
33,62.73
32,62.76
35,71.79
38,76.72
44,83.94
46,89.04
25,51.63
20,39.37
63,130.97
50,102.49
19,36.81
40,78.55
94,186.2
96,197.71
5,10.36
67,127.9
29,59.51
15,30.51
82,162.78
65,130.09
70,141.99
15,29.92
27,51.39
63,121.97
47,96.93
55,110.18
65,133.05
55,114.7
34,70.92
71,142.85
59,116.42
45,91.3
14,28.24
25,49.34
21,40.83
10,20.51
81,164.76
4,7.84
18,35.82
76,152.72
33,67.69
97,186.41
73,140.11
79,165.56
93,176.83
52,105.81
56,110.72
16,30.54
72,145.42
18,36.64
89,174.5
32,66.36
57,111.94
59,116.03
3,6.08
83,161.79
100,195.98
20,39.72
6,12.36
26,54.4
66,125.88
58,118.72
67,136.5
67,134.47
1,2.09
84,164.21
81,165.4
9,18.12
41,85.81
44,92.09
12,24.19
42,86.12
2,4.1
17,33.65
5,10.28
65,129.2
91,174.35
41,84.36
99,202.09
88,175.6
78,161.21
74,153.74
79,163.36
14,29.0
35,73.32
2,4.16
39,78.33
27,55.55
24,47.64
1,1.9
46,93.26
86,179.38
86,174.86
45,89.87
74,141.0
96,187.99
31,64.87
84,163.2
98,187.09
7,14.59
17,33.65
16,30.92
18,37.56
61,125.93
56,115.22
10,20.05
59,113.54
59,114.84
10,19.85
36,72.94
77,146.36
19,37.31
6,11.4
81,156.56
37,71.03
89,179.32
42,85.75
26,52.53
31,62.85
26,50.48
21,42.91
63,125.61
1,1.9
15,29.85
1,1.92
54,107.73
39,79.66
3,5.72
60,118.52
53,108.94
15,29.21
72,149.83
86,175.69
4,8.1
4,7.64
55,106.91
25,51.65
9,18.9
6,11.67
94,185.85
18,35.15
85,163.23
77,159.63
94,193.85
7,14.21
19,36.97
32,61.34
20,40.02
61,121.6
42,82.31
56,107.51
94,181.61
83,170.2
20,41.75
89,186.49
27,53.84
67,130.04
26,51.74
42,84.68
21,43.63
51,99.52
41,82.59
88,181.76
100,190.45
44,89.33
16,32.79
82,167.62
26,50.59
36,68.85
24,47.55
12,22.81
29,58.08
85,165.27
31,62.16
64,130.64
12,23.79
95,188.25
16,31.99
86,169.03
63,129.42
58,120.06
88,178.99
44,84.62
25,50.44
64,125.37
0,0.0
96,200.04
7,13.32
30,59.41
69,135.59
65,135.58
25,50.98
80,154.92
29,60.35
57,114.49
54,110.21
40,84.0
82,161.15
7,14.04
9,17.45
39,75.6
4,7.81
98,202.4
15,29.23
36,75.23
66,135.6
21,42.28
40,81.01
63,124.33
91,174.6
51,105.09
32,64.2
57,116.54
23,45.74
97,187.17
31,62.37
0,0.0
72,136.8
89,176.66
42,87.5
38,79.17
33,68.66
45,88.66
81,168.18
27,53.52
19,36.34
59,119.34
99,203.9
5,9.73
84,174.0
79,154.07
14,28.35
37,72.41
20,39.11
95,186.32
2,4.02
75,156.15
68,134.6
98,201.72
57,113.38
47,90.7
17,33.68
1,1.91
77,156.83
62,126.73
25,50.49
23,43.9
76,152.98
82,160.41
60,119.95
41,81.67
17,35.34
81,168.03
70,133.18
46,89.85
3,6.26
100,194.17
58,117.58
6,11.72
46,93.28
18,35.94
30,60.14
66,136.1
42,85.01
99,205.65
75,153.68
38,76.8
63,122.6
8,16.47
